y,x0,x1
-1.000000000000000000e+00,6.012660321346644521e-01,1.650910586864833274e-01
1.000000000000000000e+00,8.717253403947561319e-01,5.273606284195629934e-01
-1.000000000000000000e+00,3.725479744663405812e-01,4.466090687037850282e-01
-1.000000000000000000e+00,1.357664310444239852e-02,5.135778964393811208e-02
1.000000000000000000e+00,5.830316375912952820e-01,7.106191307030319537e-01
1.000000000000000000e+00,9.084797126970022285e-01,1.752718002509726647e-01
-1.000000000000000000e+00,3.999644820298295933e-01,4.739952831980015491e-01
1.000000000000000000e+00,8.325367962545292544e-01,5.980482975033334370e-01
-1.000000000000000000e+00,4.816405545569502067e-03,9.844565337131838678e-01
-1.000000000000000000e+00,7.499084384207852505e-01,4.542354333273501688e-02
1.000000000000000000e+00,6.787728052832739944e-01,9.244621614802555065e-01
-1.000000000000000000e+00,2.955893587048743498e-01,3.491424901113958645e-01
-1.000000000000000000e+00,2.036023752010092114e-01,5.920026826758448824e-01
-1.000000000000000000e+00,2.198870010022596633e-01,4.525792858555204301e-01
-1.000000000000000000e+00,1.454150156442755026e-01,8.284065671346926285e-01
-1.000000000000000000e+00,2.507999560886482460e-01,5.412252402844155430e-01
-1.000000000000000000e+00,4.454069172249203179e-01,9.642287028245233316e-02
1.000000000000000000e+00,2.533909449181281914e-02,9.541419533675528086e-01
1.000000000000000000e+00,8.795209274605995109e-01,9.807605212599779243e-01
1.000000000000000000e+00,7.941665553454693161e-01,4.595618235830615239e-01
-1.000000000000000000e+00,2.692782581937129827e-01,3.045600108717329002e-01
-1.000000000000000000e+00,5.269267778019376403e-01,1.446119313623852598e-01
-1.000000000000000000e+00,6.425484830157719429e-01,1.444312811956353082e-01
-1.000000000000000000e+00,2.762516897555838957e-01,2.210722138600362818e-02
-1.000000000000000000e+00,5.583924564641318256e-01,3.164687286818336220e-01
-1.000000000000000000e+00,2.075942837293226484e-01,5.810765156019325195e-01
-1.000000000000000000e+00,5.865040077341432401e-01,1.730316178976930575e-01
-1.000000000000000000e+00,3.805484638713033663e-01,6.717623204463272213e-01
-1.000000000000000000e+00,3.813986396562527581e-01,3.077646651653764831e-02
-1.000000000000000000e+00,4.899248660762223206e-01,4.167626968687931921e-02
1.000000000000000000e+00,6.682081706177449565e-01,6.628198755504333128e-01
-1.000000000000000000e+00,3.421034653103514067e-01,7.363192575332345724e-01
1.000000000000000000e+00,8.337479918488441832e-01,1.573775395900884888e-01
-1.000000000000000000e+00,4.923674631211191199e-01,3.888211557841462218e-01
-1.000000000000000000e+00,2.746871724354470468e-01,2.194037119875775765e-01
1.000000000000000000e+00,9.514244202703872055e-01,7.517850107244149482e-01
1.000000000000000000e+00,7.222970233828414077e-01,6.293849395650549239e-01
1.000000000000000000e+00,7.221358438649915223e-01,9.296141057040921973e-01
-1.000000000000000000e+00,1.351819603026834793e-01,1.854270482295840017e-01
1.000000000000000000e+00,6.847589110633647280e-01,3.005782511358631170e-01
1.000000000000000000e+00,9.167839007195689449e-01,7.608979395120699651e-01
-1.000000000000000000e+00,7.296113795807901425e-02,4.672119711166422551e-01
1.000000000000000000e+00,8.453793119640681253e-01,7.107858693353201751e-01
1.000000000000000000e+00,8.758550459041712921e-01,5.390947722932232233e-01
-1.000000000000000000e+00,6.680240193628613765e-01,4.079056712401981644e-01
-1.000000000000000000e+00,1.942797580183325268e-01,6.786361588339889783e-01
-1.000000000000000000e+00,6.992478452176446035e-01,2.772214675572326481e-02
1.000000000000000000e+00,4.856696344043648361e-01,6.878385389105863279e-01
-1.000000000000000000e+00,1.532187070142976282e-01,7.760493991951687986e-01
1.000000000000000000e+00,4.260091802091322544e-01,8.316101224643255296e-01
