y,x0,x1
-1.000000000000000000e+00,5.956630502064887978e-01,1.930721369700331147e-01
-1.000000000000000000e+00,4.369971909808768595e-01,5.448065208512253843e-01
1.000000000000000000e+00,8.999454640117418025e-01,8.459224350533809389e-01
-1.000000000000000000e+00,5.550637832421146944e-01,9.263357825110341004e-03
-1.000000000000000000e+00,7.468707153253317799e-02,2.828451350645997397e-01
-1.000000000000000000e+00,5.560221769762927480e-01,4.096332857505222691e-01
-1.000000000000000000e+00,6.795002114321661013e-01,2.984057796113770422e-04
-1.000000000000000000e+00,4.710146542284510129e-02,9.463613488310902433e-01
1.000000000000000000e+00,7.238166214179516667e-01,4.940647054551196016e-01
-1.000000000000000000e+00,2.443048766770348212e-01,1.766116557088118766e-01
1.000000000000000000e+00,5.974033174044348637e-01,6.139306418759564732e-01
-1.000000000000000000e+00,2.069637273226839769e-01,3.987357388610405229e-01
-1.000000000000000000e+00,3.221219680536931973e-01,2.844430513676717842e-01
1.000000000000000000e+00,7.445778579629004357e-01,4.351377072146410674e-01
-1.000000000000000000e+00,5.451932897422276936e-01,2.062341013493946829e-01
-1.000000000000000000e+00,1.696239808246304825e-01,4.358392332310834227e-03
1.000000000000000000e+00,2.339114962383119778e-01,9.684295920296079885e-01
1.000000000000000000e+00,5.622484507716049018e-01,6.023455730528913810e-01
-1.000000000000000000e+00,2.802845826689382980e-01,1.867436119464408462e-01
-1.000000000000000000e+00,3.079895604262861131e-02,3.020010729636660729e-01
-1.000000000000000000e+00,2.278860921159409081e-01,6.609776742839968966e-01
-1.000000000000000000e+00,2.775014686241032980e-01,4.238468460906956725e-01
1.000000000000000000e+00,3.378432848578666325e-01,7.944254769116867454e-01
1.000000000000000000e+00,9.939354074741211242e-01,8.490465597278253895e-01
-1.000000000000000000e+00,2.863167202290489710e-01,5.959512902157737546e-02
-1.000000000000000000e+00,1.209130049738784685e-01,3.141006657109364220e-01
1.000000000000000000e+00,4.003937420986558582e-02,9.676845691209272626e-01
1.000000000000000000e+00,8.086399636856905770e-01,8.618918132536165233e-01
-1.000000000000000000e+00,5.539808004962957222e-01,1.907996257607158519e-02
1.000000000000000000e+00,1.163521320106113421e-01,9.398709177182549279e-01
1.000000000000000000e+00,7.301063472763824613e-01,9.499676490265697160e-01
1.000000000000000000e+00,8.468338829463664119e-01,1.867208747061926966e-01
1.000000000000000000e+00,2.608233534980617385e-01,9.834132630673575459e-01
1.000000000000000000e+00,4.199570420269110871e-01,9.327541919772166512e-01
1.000000000000000000e+00,7.719418059150739975e-01,5.532023133427225181e-01
1.000000000000000000e+00,9.206744943572922057e-01,6.352192232989287701e-01
1.000000000000000000e+00,5.293421631045709397e-01,7.222684582313321222e-01
-1.000000000000000000e+00,1.379460622648243096e-02,4.214618296938960063e-01
-1.000000000000000000e+00,7.751426490739787845e-02,6.299004172832024517e-01
1.000000000000000000e+00,9.276983243348403407e-01,1.040934615547040032e-01
1.000000000000000000e+00,7.957432241562331088e-01,9.215388971855021927e-01
-1.000000000000000000e+00,2.239672931215105356e-01,7.332974484931875647e-02
1.000000000000000000e+00,9.422253608049449003e-01,5.218366190287160311e-01
1.000000000000000000e+00,9.651959620807119000e-01,2.014979368917352298e-01
1.000000000000000000e+00,9.940321308542976464e-01,6.081093015679264191e-01
1.000000000000000000e+00,6.658087328963868678e-01,5.027583853754320486e-01
-1.000000000000000000e+00,7.176560564085979754e-01,3.989391362458483137e-02
-1.000000000000000000e+00,3.487063110075080408e-01,2.238231883533835509e-01
-1.000000000000000000e+00,2.709494622365625771e-01,2.082144211471060880e-01
-1.000000000000000000e+00,3.182573103269309422e-01,3.915896341357829602e-01
1.000000000000000000e+00,8.274854880780476707e-01,7.264992541831815087e-01
-1.000000000000000000e+00,5.362365071659461746e-01,4.372891008985122507e-01
-1.000000000000000000e+00,8.427624155699986463e-02,4.113506863837846916e-01
1.000000000000000000e+00,6.701074178232642176e-01,4.536317270900971366e-01
1.000000000000000000e+00,8.544602135318842828e-01,2.735166442807617226e-01
1.000000000000000000e+00,9.949426365900033709e-01,7.080489150662402364e-01
1.000000000000000000e+00,9.344457506471001151e-01,4.628294452441769069e-01
1.000000000000000000e+00,2.748701859697193495e-01,8.689564728606002930e-01
-1.000000000000000000e+00,3.562057238439320095e-01,3.450267206455902569e-01
1.000000000000000000e+00,9.877831746152774262e-01,4.914572650953237254e-01
1.000000000000000000e+00,7.987092991607904757e-01,6.098110781977787997e-01
1.000000000000000000e+00,8.038461863207471136e-01,2.830525912541793643e-01
1.000000000000000000e+00,8.130156172775482304e-01,9.302480416896362625e-01
1.000000000000000000e+00,9.059172919354674391e-01,3.568542056989827405e-01
-1.000000000000000000e+00,4.337382469790391770e-01,4.783305272611882986e-01
-1.000000000000000000e+00,1.143317228148252873e-01,7.397845361075310322e-01
-1.000000000000000000e+00,3.449200082398627965e-01,6.130545045172697272e-01
-1.000000000000000000e+00,2.781990965302262309e-01,6.411607338569670356e-01
1.000000000000000000e+00,6.964452033739039205e-01,8.817775541629888636e-01
1.000000000000000000e+00,7.989675199719957766e-01,3.531907985451089305e-01
1.000000000000000000e+00,8.768836927519900737e-01,6.774500857515753927e-01
1.000000000000000000e+00,6.348480021319043987e-01,5.015602127922110798e-01
-1.000000000000000000e+00,2.119084404426209156e-01,2.856859505361388774e-01
1.000000000000000000e+00,5.865762180265414738e-01,5.713716895712067645e-01
-1.000000000000000000e+00,6.985710058820981949e-02,7.915028704009061666e-01
-1.000000000000000000e+00,2.355671221113677660e-01,6.438144833145231782e-02
1.000000000000000000e+00,8.877615762048381987e-01,5.200746512035342439e-01
-1.000000000000000000e+00,2.449941209134361975e-01,3.213293478699230654e-02
-1.000000000000000000e+00,9.069944587950939940e-02,8.690374126034291491e-01
1.000000000000000000e+00,5.088278277278240891e-01,6.612414281766401114e-01
1.000000000000000000e+00,6.520418524389888226e-01,7.755778069467987867e-01
1.000000000000000000e+00,7.722246267138052067e-01,8.067057648890757493e-01
-1.000000000000000000e+00,1.326901020660873343e-01,1.189518561857797474e-01
-1.000000000000000000e+00,3.261379646538820065e-02,7.520091046634519438e-01
-1.000000000000000000e+00,4.051593114583660338e-01,2.829115340428780545e-01
-1.000000000000000000e+00,3.261819856628866976e-01,2.026040109627341712e-01
1.000000000000000000e+00,8.473728790474870376e-01,7.041767658931633589e-01
1.000000000000000000e+00,3.762819089695988994e-01,6.355178264510906727e-01
1.000000000000000000e+00,6.647854472459970854e-01,9.596004675793697869e-01
1.000000000000000000e+00,8.591562056089958599e-01,7.006845513875639142e-01
1.000000000000000000e+00,5.181283220873837969e-01,5.480024371738405620e-01
1.000000000000000000e+00,7.278833585497114234e-01,4.235243120149102536e-01
1.000000000000000000e+00,3.096603842065530632e-01,9.127329643704719109e-01
-1.000000000000000000e+00,2.894308966996906873e-01,1.389663259706833687e-01
1.000000000000000000e+00,9.077251355288461498e-01,2.432028201602077777e-01
1.000000000000000000e+00,8.173287941331177642e-01,6.937093875591073822e-01
-1.000000000000000000e+00,3.721150829343222721e-02,1.226343137474231737e-01
1.000000000000000000e+00,9.715801573056137563e-02,9.315221884331510438e-01
1.000000000000000000e+00,8.075115122905083265e-01,5.837523984780504938e-01
-1.000000000000000000e+00,8.298607464063743056e-01,8.628668164813368957e-02
