ham	THANX 4 PUTTIN DA FONE DOWN ON ME!!
ham	So how are you really. What are you up to. How's the masters. And so on.
ham	Joy's father is John. Then John is the NAME of Joy's father. Mandan
ham	Almost there, see u in a sec
ham	Yes baby! We can study all the positions of the kama sutra ;)
ham	Great! So what attracts you to the brothas?
ham	So dont use hook up any how
ham	It shall be fine. I have avalarr now. Will hollalater
ham	watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
ham	This is my number by vivek..
ham	Hi good mornin.. Thanku wish u d same..
ham	Idea will soon get converted to live:)
ham	HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
ham	Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
spam	YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call
ham	Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you
ham	Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
ham	But i'll b going 2 sch on mon. My sis need 2 take smth.
ham	I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
ham	I know complain num only..bettr directly go to bsnl offc nd apply for it..
ham	Sorry i'm not free...
ham	Yo carlos, a few friends are already asking me about you, you working at all this weekend?
ham	excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
ham	Sorry da thangam, very very sorry i am held up with prasad.
ham	Dont let studying stress you out. L8r.
ham	Horrible gal. Me in sch doing some stuff. How come u got mc?
ham	Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...
ham	4 oclock at mine. Just to bash out a flat plan.
ham	Uh, heads up we don't have THAT much left
ham	Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
spam	Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
spam	Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham	Hi my email address has changed now it is 
ham	I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
ham	Its like that hotel dusk game i think. You solve puzzles in a area thing
spam	YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386
ham	Just sent it. So what type of food do you like?
ham	What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not
ham	Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? 
ham	When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
ham	Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
ham	I'm not coming home 4 dinner.
ham	Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx
ham	Haha just kidding, papa needs drugs
ham	I hav almost reached. Call, i m unable to connect u.
spam	U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795
spam	You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham	Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham	Ok how you dear. Did you call chechi
ham	Me n him so funny...
ham	Did u download the fring app?
ham	Cramps stopped. Going back to sleep
ham	If you r @ home then come down within 5 min
ham	S:)8 min to go for lunch:)
ham	Thank you. And by the way, I just lost.
ham	Ok then no need to tell me anything i am going to sleep good night
ham	Hey you around? I've got enough for a half + the ten I owe you
ham	But you were together so you should be thinkin about him
ham	Gettin rdy to ship comp
ham	would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
ham	Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha.
spam	Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
ham	Sorry that took so long, omw now
ham	My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!
ham	"Happy or sad , one thing about past is- ""Its no more"" GOOD MORNING :-):-)."
ham	Goodmorning, today i am late for 1hr.
ham	Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
ham	R we still meeting 4 dinner tonight?
ham	He telling not to tell any one. If so treat for me hi hi hi
ham	Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!
ham	Its just the effect of irritation. Just ignore it
ham	Yes there were many sweets
ham	She told to hr that he want posting in chennai:)because i'm working here:)
ham	What r u cooking me for dinner?
ham	That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?
ham	Oh ok.. Wat's ur email?
ham	Apo all other are mokka players only
ham	They finally came to fix the ceiling.
ham	Yes i will be there. Glad you made it.
ham	Wait, do you know if wesleys in town? I bet she does hella drugs!
ham	You're right I have now that I think about it
ham	Sorry, I'll call later
ham	Shall i get my pouch?
ham	S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
ham	Ew are you one of them?
spam	Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
ham	U ned to convince him tht its not possible witot hurting his feeling its the main
ham	May i call You later Pls
ham	No chikku nt yet.. Ya i'm free
spam	EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+
ham	Are u awake? Is there snow there?
spam	Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham	Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
ham	Not a drop in the tank
ham	* Am on a train back from northampton so i'm afraid not!
spam	December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 
ham	Or remind me in a few hrs.
